inverse_theta,profile,noise_profile
0.08889527003241814,0.0007671699061089082,0.0007362896251326788
0.08800631733209395,0.0007457726986017641,0.0007044277002944509
0.08713496765553855,0.0007224655890345645,0.0007530367360099378
0.08628070326675878,0.0007394162998287098,0.0007009824801666531
0.08544302653601354,0.0007094798979564841,0.000718034106925406
0.08462145897316725,0.0006945492381935396,0.0006801558817425465
0.08381554031627995,0.0006540988313591218,0.0006677313845770352
0.08302482767178675,0.0006829252439659448,0.0006413209269310334
0.08224889470289153,0.0006933349272661757,0.0006496394803231438
0.08148733086304996,0.0006894612024401231,0.0006689161388649273
0.08073974067164583,0.0006667482348876329,0.0006361478640395558
0.0800057430291763,0.0006541157823770167,0.0006602427024212607
0.07928497056945401,0.0006588124177466941,0.0006644661874293984
0.07857706904651246,0.0006246244924166495,0.0006019107535752559
