Area Served,Callsign,Frequency(MHz),Purpose,Polarisation,Antenna Height,Antenna Pattern,Maximum ERP (W),Technical Specification Number,Licence Number,Site id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,Channel,BSL,Licence Area,Licence Area ID,Status,,Latitude (deg),Longitude (deg)
Esperance,WOW11,219.5,Commercial,H,73,DA,500,1134358,1946991,30253,Telstra Site Wireless Hill ESPERANCE,0,0,0,33 52 30S,121 53 41E,WA,11,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,33.875,121.894722222222
Esperance,VEW12,226.5,Commercial,H,73,DA,500,10012531,1947994,30253,Telstra Site Wireless Hill ESPERANCE,0,0,0,33 52 30S,121 53 41E,WA,12,10416,KALGOORLIE TV1,312,Issued,,33.875,121.894722222222
Exmouth,WAW6,177.5,Commercial,H,34,DA,30,1134355,1952149,31918,Broadcast Australia Site Lot 43 Murat Rd EXMOUTH,0,0,0,21 55 7S,114 7 16E,WA,6,4747,WESTERN ZONE TV1,641,Issued,,21.9186111111111,114.121111111111
Exmouth,ABC7,184.5,National,H,34,DA,30,1132086,1901611,31918,Broadcast Australia Site Lot 43 Murat Rd EXMOUTH,0,0,0,21 55 7S,114 7 16E,WA,7,,,,Issued,,21.9186111111111,114.121111111111
Exmouth,SBS9,198.625,National,H,34,DA,30,1132087,1900902,31918,Broadcast Australia Site Lot 43 Murat Rd EXMOUTH,0,0,0,21 55 7S,114 7 16E,WA,9,,,,Issued,,21.9186111111111,114.121111111111
Exmouth,WOW11,219.5,Commercial,H,34,DA,30,1134356,1952126,31918,Broadcast Australia Site Lot 43 Murat Rd EXMOUTH,0,0,0,21 55 7S,114 7 16E,WA,11,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,21.9186111111111,114.121111111111
Exmouth,WDW12,226.5,Commercial,H,34,DA,30,1134357,1952166,31918,Broadcast Australia Site Lot 43 Murat Rd EXMOUTH,0,0,0,21 55 7S,114 7 16E,WA,12,1130047,WESTERN ZONE TV1,641,Issued,,21.9186111111111,114.121111111111
Kalbarri,GTW6,177.5,Commercial,H,25,DA,5,1134338,1952316,31148,Northampton Shire Site 12 Rochester St KALBARRI,0,0,0,27 42 20S,114 10 30E,WA,6,10418,GERALDTON TV1,213,Issued,,27.7055555555556,114.175
Kalbarri,ABC8,191.625,National,H,25,DA,5,1132106,1914891,31148,Northampton Shire Site 12 Rochester St KALBARRI,0,0,0,27 42 20S,114 10 30E,WA,8,,,,Issued,,27.7055555555556,114.175
Kalbarri,SBS10,212.5,National,H,25,DA,5,1136348,1972911,31148,Northampton Shire Site 12 Rochester St KALBARRI,0,0,0,27 42 20S,114 10 30E,WA,10,,,,Issued,,27.7055555555556,114.175
Kalbarri,WOW11,219.5,Commercial,H,25,DA,5,1134339,1952128,31148,Northampton Shire Site 12 Rochester St KALBARRI,0,0,0,27 42 20S,114 10 30E,WA,11,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,27.7055555555556,114.175
Kalbarri,GDW12,226.5,Commercial,H,25,DA,5,1134340,1952301,31148,Northampton Shire Site 12 Rochester St KALBARRI,0,0,0,27 42 20S,114 10 30E,WA,12,1130046,GERALDTON TV1,213,Issued,,27.7055555555556,114.175
Kalgoorlie,SBS7,184.625,National,H,73,DA,4000,10012561,1159084,9001927,BA Site  Peters Hill Graeme St HANNANS,0,0,0,30 43 2S,121 26 25E,WA,7,,,,Issued,,30.7172222222222,121.440277777778
Kalgoorlie,VDW9,198.625,Commercial,H,73,DA,4000,10012559,1925836,9001927,BA Site  Peters Hill Graeme St HANNANS,0,0,0,30 43 2S,121 26 25E,WA,9,1130048,KALGOORLIE TV1,312,Issued,,30.7172222222222,121.440277777778
Kalgoorlie,ABC9A,205.625,National,H,73,DA,4000,10012558,1158965,9001927,BA Site  Peters Hill Graeme St HANNANS,0,0,0,30 43 2S,121 26 25E,WA,9A,,,,Issued,,30.7172222222222,121.440277777778
Kalgoorlie,WOW10,212.625,Commercial,H,73,DA,4000,10012560,1943031,9001927,BA Site  Peters Hill Graeme St HANNANS,0,0,0,30 43 2S,121 26 25E,WA,10,10048,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1,801,Issued,,30.7172222222222,121.440277777778
